feature,importance
GOLD_level,0.016617648
DXY_level,0.0135074565
RATE_10Y_level,0.005639706
OIL_level,0.004973268
RATE_2Y_level,0.004557925
VIX_level,0.0044909664
day_of_week,0.0031989296
SP500_level,0.002621594
NASDAQ_change,0.001943378
RATE_2Y_change,0.0016252
YIELD_SPREAD_change,0.0015359673
GOLD_change,0.0011695253
OIL_change,0.0011490075
DXY_change,0.0011224129
month,0.0009749644
RATE_10Y_change,0.0009017318
SP500_change,0.00083562563
MACD,0.0007770594
return_lag20,0.00034165455
NASDAQ_level,0.0001486088
YIELD_SPREAD_level,7.1708986e-05
MACD_signal,3.5701916e-05
BB_upper,0.0
EMA_12,0.0
SMA_50,0.0
price_to_SMA20,0.0
EMA_26,0.0
SMA_20,0.0
MACD_hist,0.0
price_to_SMA50,0.0
RSI,0.0
volatility_20d,0.0
BB_position,0.0
BB_width,0.0
BB_lower,0.0
volume_relative,0.0
VIX_change,0.0
return_lag5,0.0
return_lag1,0.0
volume_change,0.0
volume_MA20,0.0
quarter,0.0
sector_Energy,0.0
sector_Finance,0.0
sector_Healthcare,0.0
sector_Industrials,0.0
sector_Technology,0.0
